title,author,url
Rittenhouse : Journal of the American Scientific Instrument Enterprise [68 of 70 issues],"Warner, Deborah Jean; Randall C. Brooks; M. Eugene Rudd; ...",www.abebooks.com/servlet/BookDetailsPL?bi=31964770094&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_3-_-bdp
"Journal of the Zeiss Historica Society, Volume 31, Number 1, Spring 2010","Scott, John T. (editor)",www.abebooks.com/servlet/BookDetailsPL?bi=30046919800&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_4-_-bdp
Rittenhouse Vol. 5 No. 3 (Issue 19): Journal of the American Scientific Instrument Enterprise May...,"Baird, Davis; Deborah Jean Warner (contributors); Deborah...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281585&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_5-_-bdp
Rittenhouse Vol. 8 No. 2 (Issue 30): Journal of the American Scientific Instrument Enterprise Feb...,"Giordano, Raymond V.; Deborah Jean Warner; Steven Turner ...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281572&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_6-_-bdp
Rittenhouse Vol. 6 No. 2 (Issue 22): Journal of the American Scientific Instrument Enterprise Feb...,"Forman, Bruce R.; Joel Hodson; Dale R. Beeks; Budd J. LaR...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281569&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_7-_-bdp
Bibliotheca Mechanica [ A Bibliography of the History of Mechanics ],"Roberts, Verne L. ; Trent, Ivy",www.abebooks.com/servlet/BookDetailsPL?bi=12926073826&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_8-_-bdp
"Problems in Theory and Technique of Antennas, Part 1","Appel, R.; Schlicke, H.; Rindfleisch, H.; others",www.abebooks.com/servlet/BookDetailsPL?bi=30249493720&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_9-_-bdp
Rittenhouse Vol. 4 No. 1 (Issue 13): Journal of the American Scientific Instrument Enterprise Nov...,"Kidwell, Peggy A (Aldrich); Paul L. Ferraglio; Dale R. Be...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281596&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_10-_-bdp
Edisonia : A Brief History of the Early Edison Lighting System,[ Committee on St. Louis Exposition of the Association of...,www.abebooks.com/servlet/BookDetailsPL?bi=30402824828&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_11-_-bdp
"Journal of the Zeiss Historica Society, complete run from Volume 3, No 1 Spring 1981 through Volu...","Gubas, Lawrence, and many others",www.abebooks.com/servlet/BookDetailsPL?bi=30046919803&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_12-_-bdp
Rittenhouse Vol. 10 No. 4 (Issue 40): Journal of the American Scientific Instrument Enterprise Au...,"Genuth, Sara Schechner; Deborah Jean Warner (contributors...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281570&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_13-_-bdp
"Carl Zeiss, Jena Optische Werkstaette Photographic Lenses Hand Cameras 1905",[ Zeiss Historica Society ],www.abebooks.com/servlet/BookDetailsPL?bi=31605956062&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_14-_-bdp
Rittenhouse Vol. 10 No. 2 (Issue 38): Journal of the American Scientific Instrument Enterprise Fe...,"Devorkin, David; Brandon Shackelford; Randall C. Brooks; ...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281597&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_15-_-bdp
"Rittenhouse Vol. 12 No. 1 (Issue 45), January 1998 : Journal of the American Scientific Instrumen...","Warner, Deborah Jean; Miller, Robert C. ; Greenslade, Tho...",www.abebooks.com/servlet/BookDetailsPL?bi=18466394269&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_16-_-bdp
Rittenhouse Vol. 8 No. 1 (Issue 29): Journal of the American Scientific Instrument Enterprise Nov...,"Warner, Deborah Jean; Raymond V. Giordano; Steven Turner ...",www.abebooks.com/servlet/BookDetailsPL?bi=19255281578&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_17-_-bdp
Wood Systems. Bulletin No.1102 (supercedes No 1088). List of Plants Operating Direct-Current Dire...,[ Fort Wayne Electric Works ],www.abebooks.com/servlet/BookDetailsPL?bi=30113455422&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_18-_-bdp
"Rittenhouse Vol. 12 No. 4 (Issue 48), October 1998 : Journal of the American Scientific Instrumen...","Sherman, Roger ; Senne, Joseph H. ; Kidwell, Peggy A. ; G...",www.abebooks.com/servlet/BookDetailsPL?bi=18466394280&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_19-_-bdp
"Journal of the Zeiss Historica Society, Volume 30, Number 1, Spring 2009","Scott, John T. (editor)",www.abebooks.com/servlet/BookDetailsPL?bi=30046919801&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_20-_-bdp
